Institution,State,Region,Aid Policy,Total Cost of Attendance (out-of-state)(1),Full-Time Undergrads,Full-Time International Undergrads,Percentage of Internationals to All Undergrads,Average International Noncitizen Financial Aid Award,Percentage of International Noncitizens Receiving Aid 
Purdue University - West Lafayette,IN,Great Lakes,,41724,35476,4243,0.12,,
Queens University of Charlotte,NC,Southeast,Need & Merit,58096,1234,170,0.14,37123,0.97
Quinnipiac University,CT,New England,,70540,,,,,
Ramapo College of New Jersey,NJ,Mid-Atlantic,Need & Merit,44759,4450,48,0.01,24398,1
Randolph College,VA,Southeast,Merit,43722,457,16,0.04,18134,1
Randolph-Macon College,VA,Southeast,Need & Merit,62370,1442,26,0.02,41329,1
Reed College,OR,West Coast,Need-Based,83310,1488,120,0.08,54263,0.3
Regis University,CO,Rocky Mts,Need & Merit,60354,1915,35,0.02,18145,0.71
Rensselaer Polytechnic Institute,NY,Mid-Atlantic,Merit,79934,5823,688,0.12,37816,0.12
Rhode Island School of Design,RI,New England,,78939,,,,,
Rhodes College,TN,Southeast,Need & Merit,68350,1927,116,0.06,47797,1
Rice University ,TX,Southwest,Need & Merit,74110,4514,560,0.12,68402,0.24
Roanoke College,VA,Southeast,,53966,,,,,
Robert Morris University,PA,Mid-Atlantic,Merit,52791,2414,146,0.06,32035,0.43
Rochester Institute of Technology,NY,Mid-Atlantic,Need & Merit,72296,12798,578,0.05,20404,0.77
Rollins College,FL,Southeast,Need & Merit,75310,2245,204,0.09,36487,0.91
Rose-Hulman Inst. of Technology,IN,Great Lakes,Need & Merit,74226,2128,168,0.08,16669,0.98
Rowan University,NJ,Mid-Atlantic,Need & Merit,46222,13057,227,0.02,9247,0.47
SUNY Binghamton,NY,Mid-Atlantic,Need & Merit,47709,14080,573,0.04,4726,0.27
SUNY Buffalo,NY,Mid-Atlantic,Need-Based,37608,19750,2607,0.13,6381,0.23
SUNY Geneseo,NY,Mid-Atlantic,Merit,36542,4290,67,0.02,4518,0.42
SUNY Purchase,NY,Mid-Atlantic,Need & Merit,38451,2828,39,0.01,188,0.41
SUNY Stony Brook,NY,Mid-Atlantic,Merit,48438,16633,1661,0.1,5200,0.15
Sacred Heart University,CT,New England,,67950,,,,,
Saint Anselm College,NH,New England,Need & Merit,65620,1940,14,0.01,46175,1
Saint Joseph's University,PA,Mid-Atlantic,Merit,,4807,112,0.02,21965,1
Saint Louis University,MO,Plains,,70676,,,,,
Saint Mary's College of California,CA,West Coast,Merit,74188,1949,44,0.02,44050,1
Saint Michael's College,VT,New England,Need & Merit,67512,1186,50,0.04,34959,0.98
Salisbury University ,MD,Mid-Atlantic,Merit,37862,6100,51,0.01,4422,1
Salve Regina University,RI,New England,Need & Merit,67780,2116,47,0.02,27159,1
San Diego State University,CA,West Coast,Need & Merit,43990,28381,1032,0.04,27438,0.05
San Jose State University,CA,West Coast,Need & Merit,42730,21563,1530,0.07,10041,0.28
Santa Clara University,CA,West Coast,Merit,78849,5989,371,0.06,46325,0.14
Sarah Lawrence College,NY,Mid-Atlantic,,79414,,,,,
Scripps College ,CA,West Coast,Need & Merit,83300,1087,37,0.03,39652,0.38
Seattle University,WA,West Coast,,69798,3932,370,0.09,,
Seton Hill University,PA,Mid-Atlantic,,57274,,,,,
Sewanee - University of the South,TN,Southeast,Need & Merit,68704,1590,74,0.05,52743,0.99
Siena College,NY,Mid-Atlantic,Need & Merit,62329,3351,104,0.03,,
Skidmore College,NY,Mid-Atlantic,Need & Merit,81890,2720,250,0.09,71428,0.42
Slippery Rock University ,PA,Mid-Atlantic,Need & Merit,29393,6310,143,0.02,8221,0.24
Smith College,MA,New England,Need & Merit,82134,2518,355,0.14,74943,0.42
Soka University of America,CA,West Coast,,52758,,,,,
Southeastern Louisiana University ,LA,Southeast,Merit,37051,8324,119,0.01,18698,0.76
Southern Methodist University,TX,Southwest,Merit,83130,6880,292,0.04,41926,0.67
Southwestern University,TX,Southwest,Merit,63950,1465,25,0.02,28381,1
Spelman College,GA,Southeast,Need & Merit,49566,2374,11,0,32624,1
Springfield College,MA,New England,Merit,,1983,74,0.04,34536,0
St. Cloud State University,MN,Plains,,33951,,,,,
St. John Fisher University,NY,Mid-Atlantic,,53914,,,,,
St. John's College - Annapolis,MD,Mid-Atlantic,Need & Merit,52960,460,64,0.14,25672,0.95
St. John's College - Santa Fe,AZ,Southwest,Need & Merit,52960,367,46,0.13,28569,0.98
St. John's University - New York,NY,Mid-Atlantic,,70178,,,,,
St. Lawrence University ,NY,Mid-Atlantic,Need & Merit,79665,2130,211,0.1,48286,0.98
St. Mary's College of Maryland,MD,Mid-Atlantic,Merit,47871,1473,4,0,15099,1
St. Mary's University (TX) ,TX,Southwest,Need & Merit,51174,1932,178,0.09,32569,0.25
St. Norbert College,WI,Great Lakes,,57584,,,,,
St. Olaf College,MN,Plains,Need & Merit,69000,3012,324,0.11,56918,0.99
Stanford University ,CA,West Coast,Need & Merit,82162,7822,888,0.11,72156,0.28
Stetson University ,FL,Southeast,Need & Merit,71810,2470,167,0.07,52935,0.85
Stevens Institute of Technology,NJ,Mid-Atlantic,Merit,,4025,106,0.03,16327,0.74
Suffolk University,MA,New England,,65464,,,,,
Susquehanna College,PA,Mid-Atlantic,,73010,,,,,
Swarthmore College,PA,Mid-Atlantic,Need-Based,80014,1619,227,0.14,70906,0.32
Sweet Briar College,VA,Southeast,,41990,448,41,0.09,,
Syracuse University,NY,Mid-Atlantic,Merit,80947,14601,1970,0.13,3802,0.68
Temple University ,PA,Mid-Atlantic,Merit,57283,23689,753,0.03,13935,0.54
Texas A & M University,TX,Southwest,Need & Merit,59153,50109,581,0.01,31634,0.33
Texas Christian University,TX,Southwest,Need & Merit,73110,10523,508,0.05,45934,0.71
Texas Tech University,TX,Southwest,Need & Merit,40292,29075,547,0.02,6728,0.73
The Citadel,SC,Southeast,Merit,55199,2469,27,0.01,38406,0.33
The College of New Jersey,NJ,Mid-Atlantic,Merit,50650,6647,46,0.01,5476,0.46
The New School Coll. of Performing Arts,NY,Mid-Atlantic,Merit,85097,568,163,0.29,17739,0.87
Towson University ,MD,Mid-Atlantic,Merit,44722,14769,244,0.02,10851,0.26
Trinity College,CT,New England,Need & Merit,83090,2112,295,0.14,63821,0.72
Trinity University,TX,Southwest,Need & Merit,65798,2462,119,0.05,29631,0.97
Tufts University ,MA,New England,,84600,6695,844,0.13,70111,0.26
Tulane University,LA,Southeast,Need & Merit,83890,7933,407,0.05,41454,0.29
Tuskegee University,AL,Southeast,,41924,,,,,
Union College,NY,Mid-Atlantic,Need & Merit,81720,2077,210,0.1,49197,0.82
University of Alabama ,AL,Southeast,Merit,52384,28074,287,0.01,34465,0.48
University of Arizona,AZ,Southwest,Need & Merit,57927,29545,1861,0.06,17797,0.43
University of Arkansas,AR,Southeast,Merit,46054,23446,363,0.02,15490,0.33
University of California - Berkeley,CA,West Coast,No Aid,73115,30820,4161,0.14,,
University of California - Irvine,CA,West Coast,Need-Based,67361,27911,3747,0.13,20432,0.02
University of California - Los Angeles,CA,West Coast,,67052,31758,2961,0.09,27591,0.05
University of California - Merced,CA,West Coast,Merit,68979,8202,413,0.05,5250,0.01
University of California - Riverside,CA,West Coast,Merit,67298,21955,877,0.04,8641,0.33
University of California - San Diego,CA,West Coast,Need & Merit,67112,32129,4627,0.14,17843,0.01
University of California - Santa Barbara,CA,West Coast,,67974,22793,2704,0.12,12885,0.05
University of California - Santa Cruz,CA,West Coast,Need-Based,68784,16728,794,0.05,6256,0.29
University of Central Florida ,FL,Southeast,Merit,40135,41725,1795,0.04,1205,0.16
University of Chicago,IL,Great Lakes,,86856,,,,,
University of Cincinnati,OH,Great Lakes,,45530,24120,1379,0.06,13211,0.55
University of Colorado - Boulder ,CO,Rocky Mts,Merit,67716,28603,856,0.03,17356,0.16
University of Colorado - Colorado Springs,CO,Rocky Mts,,39901,,,,,
University of Colorado - Denver,CO,Rocky Mts,,48844,8355,982,0.12,8067,0.08
University of Connecticut ,CT,New England,Need & Merit,59706,18319,1518,0.08,18560,0.23
University of Dallas,TX,Southwest,Need & Merit,66430,1465,24,0.02,,0
University of Dayton,OH,Great Lakes,,64310,8124,247,0.03,35660,0.33
University of Delaware,DE,Mid-Atlantic,Merit,54964,17288,695,0.04,,0
University of Denver,CO,Rocky Mts,Merit,76059,5630,195,0.03,40779,0.91
University of Detroit Mercy,MI,Great Lakes,Merit,45618,2140,184,0.09,14201,0.63
University of Georgia,GA,Southeast,No Aid,46582,28874,315,0.01,,
University of Hawaii - Manoa ,HI,West Coast,Need & Merit,52363,11775,459,0.04,20516,0.78
University of Houston ,TX,Southwest,Need & Merit,37993,27090,1758,0.06,3352,0.27
University of Illinois - Chicago,IL,Great Lakes,Merit,50480,19793,1496,0.08,4094,0.09
University of Illinois - Urbana Champaign,IL,Great Lakes,Merit,50106,33113,4749,0.14,5730,0.01
University of Iowa ,IA,Plains,,48846,19696,399,0.02,13196,0.58
University of Kansas,KS,Plains,Need & Merit,42641,16535,720,0.04,1126,0.43
University of Kentucky,KY,Southeast,Need & Merit,52482,19782,349,0.02,17936,0.8
University of Louisville,KY,Southeast,No Aid,48026,11266,184,0.02,0,0
University of Lynchburg,VA,Southeast,Merit,50610,1507,29,0.02,24278,0.9
University of Maine - Orono ,ME,New England,Need & Merit,49056,7348,190,0.03,24056,0.82
University of Mary Washington,VA,Southeast,Merit,48004,3100,68,0.02,6319,0.44
University of Maryland - Baltimore County,MD,Mid-Atlantic,Merit,47559,9119,492,0.05,12467,0.41
University of Maryland - College Park,MD,Mid-Atlantic,No Aid,57873,28344,962,0.03,,
University of Massachusetts - Amherst ,MA,New England,Merit,54694,22466,1735,0.08,12076,0.77
University of Massachusetts - Boston,MA,New England,No Aid,55723,9889,735,0.07,,
University of Massachusetts - Dartmouth,MA,New England,Merit,50657,4896,65,0.01,8852,0.58
University of Massachusetts - Lowell,MA,New England,Merit,51100,10099,324,0.03,8538,0.44
University of Memphis,TN,Southeast,,32360,11091,190,0.02,14512,0.98
University of Miami ,FL,Southeast,Need & Merit,79020,11840,1099,0.09,41972,0.31
University of Michigan - Ann Arbor,MI,Great Lakes,No Aid,72154,30654,2715,0.09,,
University of Michigan - Dearborn ,MI,Great Lakes,Merit,43320,4754,178,0.04,12186,0.72
University of Minnesota - Duluth,MN,Plains,Merit,32598,7596,84,0.01,12024,0.39
University of Minnesota - Twin Cities,MN,Plains,,50339,28458,1801,0.06,4372,0.11
University of Mississippi,MS,Southeast,Merit,45130,14536,173,0.01,24294,0.78
University of Missouri - Columbia,MO,Plains,Need & Merit,49210,21953,233,0.01,,
University of Nebraska - Lincoln,NE,Plains,Need & Merit,44194,18435,706,0.04,7151,0.13
University of Nevada - Las Vegas,NV,West Coast,,42291,19537,428,0.02,11217,0.42
University of Nevada - Reno,NV,West Coast,,45389,,,,,
University of New Hampshire,NH,New England,Need & Merit,54260,11200,138,0.01,33912,0.55
University of New Haven,CT,New England,Merit,66382,4484,112,0.02,22033,1
University of New Mexico,NM,Southwest,,43023,11379,229,0.02,,
University of North Carolina - Asheville,NC,Southeast,Need & Merit,38948,2775,34,0.01,18219,0.59
University of North Carolina - Chapel Hill,NC,Southeast,,53810,,,,,
University of North Carolina - Charlotte,NC,Southeast,,37784,20555,484,0.02,,
University of North Carolina - Wilmington,NC,Southeast,Merit,41086,11672,161,0.01,1868,0.32
University of North Carolina Sch. of the Arts,NC,Southeast,Merit,43519,894,25,0.03,5000,0.04
University of North Dakota,ND,Plains,,29986,6971,371,0.05,11532,0.28
University of North Florida,FL,Southeast,Merit,36900,10749,247,0.02,2651,0.44
University of North Texas,TX,Southwest,,36090,26005,1442,0.06,4664,0.26
University of Northern Iowa,IA,Plains,Merit,33142,7272,67,0.01,4533,0.85
University of Notre Dame ,IN,Great Lakes,Need & Merit,80211,8899,556,0.06,62340,0.47
University of Oklahoma,OK,Southwest,Merit,49241,18185,594,0.03,4842,0.02
University of Oregon,OR,West Coast,Need & Merit,60285,17164,459,0.03,17066,0.1
University of Pennsylvania,PA,Mid-Atlantic,Need-Based,85738,9631,1308,0.14,65815,0.29
University of Pittsburgh,PA,Mid-Atlantic,Need & Merit,53268,19188,921,0.05,,
University of Portland,OR,West Coast,,72816,3309,108,0.03,50213,0.91
University of Puget Sound,WA,West Coast,Merit,75570,1712,11,0.01,24936,1
University of Rhode Island,RI,New England,,51632,12938,152,0.01,18919,0.96
University of Richmond,VA,Southeast,Need & Merit,77330,3258,301,0.09,59771,0.51
University of Rochester,NY,Mid-Atlantic,Need & Merit,82600,6247,1587,0.25,42902,0.34
University of San Diego,CA,West Coast,Merit,75767,5481,349,0.06,20548,0.07
University of San Francisco,CA,West Coast,Merit,77854,5807,613,0.11,22954,0.58
University of South Carolina,SC,Southeast,Merit,51179,25960,500,0.02,3581,0.69
University of South Florida - Tampa,FL,Southeast,Merit,35566,28808,3041,0.11,8210,0.29
University of Southern California ,CA,West Coast,Merit,85064,20110,2672,0.13,26309,0.28
University of Tampa,FL,Southeast,,50008,,,,,
University of Tennesee - Knoxville,TN,Southeast,Need & Merit,51078,25669,199,0.01,8722,0.27
University of Texas - Austin,TX,Southwest,Need & Merit,59618,38444,1837,0.05,8092,0.07
University of Texas - Dallas,TX,Southwest,Merit,56290,17869,850,0.05,8890,0.48
University of Texas - San Antonio,TX,Southwest,Need & Merit,36151,22001,386,0.02,5446,0.87
University of Toledo,OH,Great Lakes,Merit,40862,9578,759,0.08,5441,0.64
University of Utah,UT,Rocky Mts,Merit,47202,21189,1447,0.07,12100,0.18
University of Vermont,VT,New England,Merit,60969,10781,130,0.01,34305,0.9
University of Virginia,VA,Southeast,No Aid,73704,16359,769,0.05,,
University of Washington - Seattle,WA,West Coast,No Aid,60588,29532,4299,0.15,0,0
University of Wisconsin - Madison,WI,Great Lakes,No Aid,56625,33547,3517,0.1,0,0
University of Wisconsin - Milwaukee,WI,Great Lakes,Merit,36615,15675,344,0.02,3739,0.11
University of the Pacific,CA,West Coast,Merit,72305,3174,264,0.08,,
Ursinus College ,PA,Mid-Atlantic,,75962,,,,,
Utica College,NY,Mid-Atlantic,Merit,39718,2140,21,0.01,8586,0.57
Valparaiso University,IN,Great Lakes,Merit,60796,2466,100,0.04,26174,0.43
Vanderbilt University,TN,Southeast,Need & Merit,84412,7082,725,0.1,71703,0.25
Vassar College,NY,Mid-Atlantic,Need-Based,83610,2601,176,0.07,68953,0.31
Villanova University,PA,Mid-Atlantic,Need & Merit,81105,6756,144,0.02,58332,0.68
Virginia Commonwealth University,VA,Southeast,,57025,18721,376,0.02,16757,0.43
Virginia Military Institute,VA,Southeast,Need & Merit,63546,1652,27,0.02,1500,0.04
Virginia Tech,VA,Southeast,No Aid,52526,28886,1332,0.05,,
Wabash College,IN,Great Lakes,Merit,62825,834,44,0.05,39401,0.98
Wake Forest University,NC,New England,Merit,82988,5388,466,0.09,15728,0.11
Warren Wilson College,NC,Southeast,,53600,,,,,
Wartburg College,IA,Plains,Need & Merit,61870,1463,87,0.06,31292,1
Washington & Jefferson College,PA,Mid-Atlantic,Merit,65916,1149,12,0.01,40036,1
Washington College,MD,Mid-Atlantic,Merit,70375,928,27,0.03,31737,0.93
Washington State University,WA,West Coast,Need & Merit,45427,21189,691,0.03,14735,0.42
Washington University in St. Louis,MO,Plains,Need & Merit,83476,7401,591,0.08,69382,0.05
Washington and Lee University,VA,Southeast,Need & Merit,82990,1861,119,0.06,78588,0.86
Wellesley College,MA,New England,,83050,2349,340,0.14,82892,0.24
Wells College,NY,Mid-Atlantic,,51012,,,,,
Wentworth Institute of Technology,MA,New England,Merit,57380,3379,175,0.05,9280,0.93
Wesleyan University,CT,New England,Need & Merit,85172,3000,311,0.1,83185,0.27
Western Washington University,WA,West Coast,Merit,46781,12157,126,0.01,8775,0.68
Westminster University (UT),UT,Rocky Mts,Need & Merit,56351,920,49,0.05,9101,0.94
Westmont College,CA,West Coast,Merit,68826,1272,21,0.02,50103,1
Wheaton College (IL),IL,Great Lakes,Need & Merit,56780,2081,75,0.04,21320,0.85
Wheaton College (MA),MA,New England,,77030,,,,,
Whitman College,WA,West Coast,Need & Merit,75042,1450,175,0.12,51808,0.78
Whitworth College ,WA,West Coast,,66313,,,,,
Widener University,PA,Mid-Atlantic,Merit,69953,2322,35,0.02,32658,0.77
Willamette University ,OR,West Coast,Merit,62112,1315,14,0.01,29616,1
Williams College,MA,New England,Need-Based,81000,2129,187,0.09,78624,0.68
Winona State University ,MN,Plains,,30418,,,,,
Wittenberg University,OH,Great Lakes,Need & Merit,57586,1210,3,0,25853,1
Worcester Polytechnic Institute,MA,New England,Need & Merit,76040,5010,357,0.07,20874,0.84
Xavier University of Louisiana,LA,Southeast,Need & Merit,40871,2603,42,0.02,12495,0.98
Yale University,CT,New England,Need-Based,85120,6588,690,0.1,72599,0.17
Yeshiva University,NY,Mid-Atlantic,Need & Merit,69300,2797,180,0.06,54732,0.93
York College of Pennsylvania,PA,Mid-Atlantic,Merit,,2960,28,0.01,9152,0.86
